Site,Unit_ID,Pasture_Type,Treatment,Burn_Year,Year,Month,Time,Date,Bird_Spp,Common_Name,Num_Birds,Distance,Temp,Times_Surveyed,Comments
ABS-UF,Winter_6_Block_Sector_3,SN,BAU,2017,2021,4,12:48:55 PM,4/5/2021,RWBL,Red-winged Blackbird,1,55,60,4,
ABS-UF,Winter_3_Block_Sector_3,SN,ASP,2018,2021,5,11:05:23 AM,5/7/2021,RWBL,Red-winged Blackbird,2,58,69,4,
ABS-UF,Winter_6_Block_Sector_1,SN,BAU,2017,2021,7,11:03:36 AM,7/2/2021,RWBL,Red-winged Blackbird,1,45,74,4,
ABS-UF,Tropical_West_Block_1_Sector_1,IMP,BAU,2017,2021,6,1:01:47 PM,6/1/2021,RWBL,Red-winged Blackbird,1,28,69,4,
ABS-UF,Tropical_East_Block_1_Sector_1,IMP,BAU,2017,2021,6,10:18:24 AM,6/1/2021,RWBL,Red-winged Blackbird,1,20,65,4,
ABS-UF,Winter_3_Block_Sector_1,SN,ASP,2017,2021,6,11:46:28 AM,6/2/2021,RWBL,Red-winged Blackbird,1,97,69,4,
ABS-UF,Winter_3_Block_Sector_1,SN,ASP,2017,2021,4,12:46:26 PM,4/6/2021,RWBL,Red-winged Blackbird,8,49,55,4,
ABS-UF,Winter_3_Block_Sector_3,SN,ASP,2018,2021,5,11:02:15 AM,5/7/2021,RWBL,Red-winged Blackbird,1,12,69,4,
ABS-UF,Tropical_West_Block_1_Sector_1,IMP,BAU,2017,2021,5,11:06:50 AM,5/3/2021,RWBL,Red-winged Blackbird,1,62,71,4,limpkin outside 100
ABS-UF,Winter_3_Block_Sector_1,SN,ASP,2017,2021,4,12:49:23 PM,4/6/2021,RWBL,Red-winged Blackbird,1,79,55,4,
ABS-UF,Summer_3_Block_Sector_3,IMP,BAU,2017,2021,7,10:50:35 AM,7/8/2021,RWBL,Red-winged Blackbird,1,76,75,4,limpkin outside 100m
ABS-UF,Summer_6_Block_Sector_2,IMP,ASP,2019,2021,5,12:29:20 PM,5/6/2021,RWBL,Red-winged Blackbird,1,59,71,4,
ABS-UF,Winter_3_Block_Sector_3,SN,ASP,2018,2021,6,12:13:31 PM,6/2/2021,RWBL,Red-winged Blackbird,2,26,71,4,
ABS-UF,Winter_3_Block_Sector_3,SN,ASP,2018,2021,5,11:03:34 AM,5/7/2021,RWBL,Red-winged Blackbird,1,50,69,4,
ABS-UF,West_Marsh_Block_1_Sector_2,SN,ASP,2019,2021,7,11:14:19 AM,7/12/2021,RWBL,Red-winged Blackbird,1,91,73,4,
ABS-UF,Summer_3_Block_Sector_3,IMP,BAU,2017,2021,7,10:52:43 AM,7/8/2021,RWBL,Red-winged Blackbird,1,84,75,4,limpkin outside 100m
ABS-UF,Summer_3_Block_Sector_3,IMP,BAU,2017,2021,4,12:13:46 PM,4/7/2021,RWBL,Red-winged Blackbird,1,92,54,4,
ABS-UF,Winter_3_Block_Sector_3,SN,ASP,2018,2021,4,1:13:49 PM,4/6/2021,RWBL,Red-winged Blackbird,1,80,61,4,
ABS-UF,Winter_3_Block_Sector_3,SN,ASP,2018,2021,6,12:16:22 PM,6/2/2021,RWBL,Red-winged Blackbird,2,87,71,4,
ABS-UF,Winter_6_Block_Sector_2,SN,BAU,2017,2021,5,11:50:12 AM,5/7/2021,RWBL,Red-winged Blackbird,1,99,71,4,
ABS-UF,Winter_3_Block_Sector_2,SN,ASP,2019,2021,4,12:59:42 PM,4/6/2021,RWBL,Red-winged Blackbird,1,82,61,4,
ABS-UF,Tropical_West_Block_1_Sector_1,IMP,BAU,2017,2021,6,1:02:09 PM,6/1/2021,RWBL,Red-winged Blackbird,1,19,69,4,
ABS-UF,Winter_6_Block_Sector_1,SN,BAU,2017,2021,5,12:06:56 PM,5/7/2021,RWBL,Red-winged Blackbird,1,67,72,4,
ABS-UF,Tropical_West_Block_1_Sector_1,IMP,BAU,2017,2021,6,1:02:30 PM,6/1/2021,RWBL,Red-winged Blackbird,1,26,69,4,
ABS-UF,Summer_3_Block_Sector_1,IMP,BAU,2017,2021,4,11:46:56 AM,4/7/2021,RWBL,Red-winged Blackbird,1,94,52,4,
ABS-UF,Winter_3_Block_Sector_1,SN,ASP,2017,2021,4,12:48:43 PM,4/6/2021,RWBL,Red-winged Blackbird,1,84,55,4,
ABS-UF,Tropical_West_Block_1_Sector_1,IMP,BAU,2017,2021,6,1:03:00 PM,6/1/2021,RWBL,Red-winged Blackbird,1,52,69,4,
