YearSampled,Pasture,Plot,Transect,Distance,Forage,C4PG,ANHP,AG,BOBU,C3PG,FORB,SD,WSPG,SS,OTHER,NA,Block,Treatment,Ecosite,PastureSize_ha,X,Y
2013,19N,4,4,20,783.61,68.35,783.61,0,68.35,40.9,674.36,5.38,0,0,0,0,6,TGM,Sandy,129.18,524671,4518980
2013,20NW,1,1,10,871.34,120.02,871.34,0,5.92,731.41,19.91,327.22,114.1,0,0,0,10,AGM,Sandy,128.56,525786,4518290
2013,20NW,1,1,20,739.48,11.84,739.48,0,0,727.64,0,330.99,11.84,0,0,0,10,AGM,Sandy,128.56,525786,4518290
2013,20NW,1,4,10,1385.32,523.13,1385.32,0,223.35,862.19,0,629.69,299.78,0,0,0,10,AGM,Sandy,128.56,525786,4518290
2013,20NW,1,4,20,879.41,221.2,879.41,0,168.46,658.21,0,642.61,52.74,0,0,0,10,AGM,Sandy,128.56,525786,4518290
2013,20NW,2,1,10,921.93,575.87,926.77,4.84,0,330.45,15.61,237.88,575.87,0,0,0,10,AGM,Sandy,128.56,526107,4518590
2013,20NW,2,1,20,527.43,181.37,537.12,9.69,9.69,235.73,110.33,20.99,171.68,0,0,0,10,AGM,Sandy,128.56,526107,4518590
2013,20NW,2,4,10,1646.88,890.71,1646.88,0,890.71,756.17,0,270.17,0,0,0,0,10,AGM,Sandy,128.56,526107,4518590
2013,20NW,2,4,20,1287.9,44.67,1287.9,0,0,1243.23,0,599.55,44.67,0,0,0,10,AGM,Sandy,128.56,526107,4518590
2013,20NW,3,1,10,781.46,781.46,855.19,73.73,779.31,0,0,26.37,2.15,0,0,0,10,AGM,Sandy,128.56,525793,4519020
2013,20NW,3,1,20,910.09,789.53,1135.06,224.97,0,0,120.56,110.87,789.53,0,0,0,10,AGM,Sandy,128.56,525793,4519020
2013,20NW,3,4,10,949.38,789,1015.04,65.66,0,159.84,0.54,151.23,789,0,0,0,10,AGM,Sandy,128.56,525793,4519020
2013,20NW,3,4,20,920.86,819.68,920.86,0,770.7,57.05,44.13,59.74,48.98,0,0,0,10,AGM,Sandy,128.56,525793,4519020
2013,20NW,4,1,10,1016.11,911.7,1180.8,164.69,64.58,0,104.41,192.67,847.12,0,0,0,10,AGM,Sandy,128.56,525786,4519290
2013,20NW,4,1,20,1206.1,848.74,1224.94,18.84,69.97,347.67,9.69,1509.64,778.77,0,0,0,10,AGM,Sandy,128.56,525786,4519290
2013,20NW,4,4,10,886.95,308.39,890.72,3.77,39.83,31.75,546.81,12.92,268.56,0,0,0,10,AGM,Sandy,128.56,525786,4519290
2013,20NW,4,4,20,691.05,357.36,712.04,20.99,0,224.97,108.72,501.6,357.36,0,0,0,10,AGM,Sandy,128.56,525786,4519290
2013,20NW,5,1,10,2306.71,1705.55,2306.71,0,27.99,601.16,0,1432.68,1677.56,0,0,0,10,AGM,Salt Flats,128.56,526671,4519170
2013,20NW,5,1,20,971.98,762.62,991.36,19.38,509.67,185.14,24.22,419.25,252.95,0,0,0,10,AGM,Salt Flats,128.56,526671,4519170
